Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,"Scoped Accuracy, %",Biotic Grenade Kills / 10min,Enemies Slept / 10min,Healing Amplified / 10min,Nano Boost Assists / 10min,Blaster Kills / 10min,Damage Amplified / 10min,Players Resurrected / 10min,Final Blows / 10min,Solo Kills / 10min,"Weapon Accuracy, %","Crit Accuracy, %",Deadeye Kills / 10min,Magnetic Grenade Attaches,Magnetic Grenade Kills / 10min,Swift Strike Resets / 10min,Damage Reflected / 10min,Ultimates Reflected / 10min,Dragonblade Kills / 10min,Kunai Kills / 10min,Effects Cleansed / 10min,Kitsune Rush Assists / 10min,"Secondary Accuracy, %",Biotic Orb Kills / 10min,"Ally Coalescence Efficiency, %","Enemy Coalescence Efficiency, %",Coalescence Kills / 10min,Objective Contest Time / 10min,Charge Kills / 10min,Fire Strike Kills / 10min,Earthshatter Kills / 10min,Long Range Kills / 10min,Storm Arrow Kills / 10min,Recon Assists / 10min,Dragonstrike Kills / 10min,Venom Mine Kills / 10min,"Helix Rocket Accuracy, %",Helix Rocket Kills / 10min,Tactical Visor Kills / 10min,"Charged Volley Accuracy, %",Charged Volley Kills / 10min,Transcendence Healing / 10min,Knockbacks / 10min,Sound Barriers / 10min,"Micro Missile Kills, % / 10min",Call Mech Kills / 10min,Self-Destruct Kills / 10min,Direct Hits,Concussion Mine Kills / 10min,Enemies Trapped / 10min,Coach Gun Kills / 10min,Dynamite Kills / 10min,Bob Kills / 10min,Self Healing / 10min,Low Health Recalls / 10min,Pulse Bombs Stuck / 10min,Pulse Bomb Kills / 10min,Chain Hook Kills / 10min,"Chain Hook Accuracy, %",Whole Hog Kills / 10min,"Primary Accuracy, %",High Energy Kills / 10min,"Average Energy, %",Graviton Surge Kills / 10min,Death Blossom Kills / 10min,Healing Accuracy,Deaths Prevented / 10min,Amp Matrix Assists / 10min,Energy Javelin Kills / 10min,Terra Surge Kills / 10min,"Airtime, %",Barrage Kills / 10min,Accretion Kills / 10min,Overhealth / 10min,Gravitic Flux Kills / 10min,Rocket Punch Kills / 10min,Seismic Slam Kills / 10min,Meteor Strike Kills / 10min,Inspire Uptime,"Icicle Accuracy, % / 10min","Icicle Crit Accuracy, % / 10min",Enemies Frozen / 10min,Blizzard Kills / 10min,Jump Pack Kills / 10min,Primal Rage Kills / 10min,Recon Kills / 10min,Assault Kills / 10min,Tactical Grenade Kills / 10min,Artillery Kills / 10min,Enemies Hacked / 10min,Low Health Teleports / 10min,EMP Kills / 10min,Grappling Claw Kills / 10min,Piledriver Kills / 10min,"Charged Shot Accuracy, %","Charged Crit Accuracy, %",Charged Shot Kills / 10min,Disruptor Shot Kills / 10min,Overclock Kills / 10min,Average Damage Multiplier,Players Teleported / 10min,Sentry Turret Kills / 10min,Hammer Kills / 10min,Turret Kills / 10min,Molten Core Kills / 10min,"Jagged Blade Accuracy, %",Carnage Kills / 10min,"Wound Uptime, %",Rampage Kills / 10min,"Focusing Beam Accuracy, %",Focusing Beam Kills / 10min,"Sticky Bomb Accuracy, %",Sticky Bomb Kills / 10min,Duplicate Kills / 10min,Role
Hanzo,Master,3.21,2.32,46.01,18.73,7.87,66,7559,,8.57,,,,,,,,,12.17,3.01,32,15,,,,,,,,,,,,,,,,,,,,2.82,5.95,4.14,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Grandmaster,2.82,1.96,48.15,17.24,6.54,52,7367,,8.87,,,,,,,,,11,3.1,33,14,,,,,,,,,,,,,,,,,,,,2.49,5.49,4.03,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,All,2.84,1.8,50.33,17.05,4.24,23,6157,,7.67,46,,,,,,,,11.81,4.77,,,,,,,,,,,,,,,,,,,,,,,,3.84,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Bronze,2.32,1.19,43.47,14.91,5.09,19,5772,,8.44,45,,,,,,,,10.27,4.22,,,,,,,,,,,,,,,,,,,,,,,,3.69,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Silver,2.44,0.81,40.85,14.71,4.67,26,5839,,7.61,43,,,,,,,,9.92,4.64,,,,,,,,,,,,,,,,,,,,,,,,3.44,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Gold,2.54,1.51,43.26,15.16,4.15,19,5765,,8.09,45,,,,,,,,10.41,4.57,,,,,,,,,,,,,,,,,,,,,,,,3.62,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Platinum,2.68,1.89,51.51,16.53,4.58,24,5997,,7.94,45,,,,,,,,11.56,4.79,,,,,,,,,,,,,,,,,,,,,,,,3.7,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Diamond,2.79,2.65,53.8,17.21,4.43,23,6158,,7.83,46,,,,,,,,12.11,5.05,,,,,,,,,,,,,,,,,,,,,,,,3.83,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Master,2.69,3.06,52.49,17.33,4.71,24,6172,,8.12,46,,,,,,,,12.31,4.65,,,,,,,,,,,,,,,,,,,,,,,,4.56,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Widowmaker,Grandmaster,2.47,2.81,47.86,16.35,4.42,19,5990,,8.14,45,,,,,,,,11.35,4.5,,,,,,,,,,,,,,,,,,,,,,,,3.59,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,All,2.85,5.37,52.57,19.51,7.44,52,8847,1458,8.61,,,,,,,,,9.92,1.67,33,9,,,,,,,,,,,,,,,,,,,,1.38,,,,,55,7.27,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Bronze,2.73,3.16,41.93,18.12,7.36,59,8059,1458,9.08,,,,,,,,,9.02,1.63,30,8,,,,,,,,,,,,,,,,,,,,1.4,,,,,54,6.48,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Silver,2.43,3.33,41.96,16.9,6.6,56,7832,1409,9.44,,,,,,,,,8.55,1.63,30,8,,,,,,,,,,,,,,,,,,,,1.39,,,,,54,6.43,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Gold,2.77,4.7,50.24,18.94,7.31,57,8412,1440,8.92,,,,,,,,,9.37,1.62,31,8,,,,,,,,,,,,,,,,,,,,1.33,,,,,54,6.58,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Platinum,2.83,5.58,50.78,19.23,7.56,55,8764,1512,8.91,,,,,,,,,9.74,1.66,33,8,,,,,,,,,,,,,,,,,,,,1.46,,,,,56,7.1,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Diamond,3.11,4.8,50.02,19.92,7.48,54,8917,1429,8.56,,,,,,,,,10.47,1.78,33,9,,,,,,,,,,,,,,,,,,,,1.52,,,,,55,7.56,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Master,2.92,9,55.06,19.42,7.31,55,8761,1437,8.82,,,,,,,,,10.12,1.75,34,8,,,,,,,,,,,,,,,,,,,,1.54,,,,,56,7.57,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Soldier: 76,Grandmaster,3.06,6.69,52.13,19.35,7.19,53,8567,1406,8.6,,,,,,,,,9.93,1.55,33,8,,,,,,,,,,,,,,,,,,,,1.52,,,,,55,7.56,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Zenyatta,All,4.68,2.32,51.16,12.93,5.78,70,4434,6043,7.74,,,,,,,1301.44,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,4.7,1166.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Bronze,4.7,2.54,49,11.57,5.11,68,4053,5733,7.95,,,,,,,1236.75,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4.73,1047.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Silver,4.35,2.25,47.12,11.7,5.23,65,4061,5754,8.14,,,,,,,1230.97,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4.72,1068.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Gold,4.61,2.43,50.31,12.39,5.46,69,4180,5930,8.02,,,,,,,1266.85,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4.07,1101.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Platinum,4.69,3.2,51.42,12.43,5.62,69,4271,6056,7.93,,,,,,,1301.55,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,4.65,1204.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Diamond,5.05,2.51,52.53,13.42,5.44,68,4612,6030,7.67,,,,,,,1322.59,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,5.65,1199.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Master,4.74,2.71,48.1,11.96,5.31,68,4125,5926,8.08,,,,,,,1279.15,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,5.11,1130.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Zenyatta,Grandmaster,4.61,2.37,46.37,11.71,4.9,68,4024,5712,8.15,,,,,,,1247.68,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5.02,1071.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,All,3.66,4.81,52.6,12.36,6.08,110,3441,8186,7.49,,,,,,,,,,,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.04,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Bronze,3.1,7.47,45.89,10.83,5.69,112,3218,8423,8.1,,,,,,,,,,,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.89,9.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Silver,3.34,5.23,49.08,11.21,5.97,113,3219,8505,7.85,,,,,,,,,,,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.41,10.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Gold,3.23,4.01,49.07,11.63,5.77,112,3324,8346,7.94,,,,,,,,,,,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.09,9.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Platinum,3.25,6.64,53.1,11.85,5.78,112,3413,8124,8.07,,,,,,,,,,,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.58,9.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Diamond,3.81,5.73,49.34,12.44,6.1,108,3579,8163,7.74,,,,,,,,,,,25,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.46,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Master,3.22,5.91,47.78,11.26,5.66,111,3333,8222,8.12,,,,,,,,,,,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.98,9.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Lucio,Grandmaster,3.19,6.09,47.49,11.19,5.62,109,3300,8110,8.19,,,,,,,,,,,23,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.01,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
D.Va,All,6.06,2.69,53.48,21.34,6.54,121,8268,,5.75,,,,,,,,,,,25,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,8.81,2.35,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Bronze,5.52,2.23,41.48,20.03,6.37,120,7476,,6.07,,,,,,,,,,,22,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,7.98,2.63,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Silver,5.08,2.46,47.47,19.78,6.45,120,7675,,6.21,,,,,,,,,,,24,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,7.91,2.54,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Gold,5.63,2.78,47.43,20.59,6.66,122,7915,,6.03,,,,,,,,,,,24,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,8.17,2.46,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Platinum,6.14,2.34,53.29,21.11,6.65,115,8047,,5.85,,,,,,,,,,,25,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,8.88,2.59,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Diamond,5.71,3.32,53.49,20.53,6.32,117,8034,,5.98,,,,,,,,,,,24,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,8.62,2.42,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Master,5.4,2.19,42.64,19.97,6.35,118,7707,,6.04,,,,,,,,,,,24,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,8.11,2.69,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
D.Va,Grandmaster,5.76,3.96,46.3,20.41,6.19,112,8221,,5.75,,,,,,,,,,,26,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,8.34,2.26,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Junkrat,All,2.5,1.9,47.68,17.15,6.65,51,8223,,8.65,,,,,,,,,10.71,2.87,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,6.06,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Bronze,2.3,1.74,31.25,16.21,7.03,57,7693,,8.87,,,,,,,,,10.03,2.9,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5.39,5.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Silver,2.26,2.47,42.59,16.03,6.9,60,7783,,8.86,,,,,,,,,10.1,2.82,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,5.46,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Gold,2.44,2.29,46.47,16.48,6.81,58,8058,,8.74,,,,,,,,,10.13,2.69,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,5.94,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Platinum,2.42,2.26,44.96,17.07,6.6,54,8227,,8.74,,,,,,,,,10.88,2.92,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,5.89,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Diamond,2.58,1.65,43.5,17.39,6.77,54,8418,,8.56,,,,,,,,,11.27,3.23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,6.34,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Master,2.25,2.33,39.66,16.09,6.48,58,7919,,9.08,,,,,,,,,10.03,2.81,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,5.32,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Junkrat,Grandmaster,2.35,1.56,37.23,16.31,6.66,56,7962,,8.8,,,,,,,,,10.21,2.86,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,5.82,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Ashe,All,2.68,2.43,52.93,17.23,6.59,50,8107,,7.95,40,,,,,,,,9,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94,5.16,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Ashe,Bronze,2.16,0.91,34.78,13.71,6.3,48,6481,,8.53,37,,,,,,,,7.37,2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,3.84,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Ashe,Silver,2.47,0.77,41.23,15.28,6.71,56,6727,,8.06,36,,,,,,,,7.64,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,4.26,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Ashe,Gold,2.4,1.78,47,15.24,6.08,47,7202,,8.09,38,,,,,,,,7.7,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,4.35,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Ashe,Platinum,2.53,2.3,50.82,16.9,6.67,52,7801,,8.42,38,,,,,,,,8.66,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,5.1,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Ashe,Diamond,3.02,2.99,52.63,17.38,6.55,45,8237,,7.94,39,,,,,,,,8.63,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,5.17,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Ashe,Master,2.64,3.11,54.03,17,6.49,44,7905,,8.3,39,,,,,,,,8.87,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84,5.21,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Ashe,Grandmaster,2.76,2.67,52.44,16.33,6.52,43,8017,,8.2,39,,,,,,,,8.26,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,5.32,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,All,2.49,1.92,51.9,18.31,6.71,64,6663,,8.28,,,,,,,,,8.33,2.11,34,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903.57,4.73,1.61,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Bronze,2.21,0.44,42.49,15.92,6.19,65,5762,,8.34,,,,,,,,,5.93,1.66,30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.88,4.68,1.34,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Silver,2.14,0.84,44.64,15.93,6.13,63,5932,,8.55,,,,,,,,,6.43,2.05,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869.78,4.53,1.49,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Gold,2.27,1.1,46.46,17.02,6.34,63,6167,,8.46,,,,,,,,,7.51,1.83,32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880.41,4.8,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Platinum,2.55,1.36,50.25,17.69,7.03,68,6206,,8.31,,,,,,,,,7.22,1.87,31,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892.93,4.75,1.45,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Diamond,2.22,1.59,36.87,17.6,6.43,65,6739,,8.54,,,,,,,,,7.76,2.05,33,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914.82,4.97,1.44,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Master,2.63,5.32,63.24,18.54,6.51,63,6495,,7.99,,,,,,,,,8.23,2.26,33,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941.39,4.7,1.59,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Tracer,Grandmaster,2.48,2.57,51.36,17.71,6.27,61,6475,,8.08,,,,,,,,,7.17,1.64,33,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907.01,4.69,1.5,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Roadhog,All,4.02,2.32,52.2,18.56,8.63,121,8040,,6.58,,,,,,,,,,,26,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,5304.08,,,,9.5,53.22,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Roadhog,Bronze,3.48,1.33,33.59,16.62,8.06,114,7458,,7.01,,,,,,,,,,,25,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,5362.98,,,,8.18,53.53,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Roadhog,Silver,3.48,1.23,34.62,16.54,8.05,121,7428,,7.24,,,,,,,,,,,26,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,5208.92,,,,8.38,54.52,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Roadhog,Gold,3.3,1.98,42.49,16.87,8.38,121,7439,,7.08,,,,,,,,,,,26,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,5214.74,,,,8.46,52.76,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Roadhog,Platinum,3.78,2.04,46.91,18.34,8.6,117,8005,,6.64,,,,,,,,,,,27,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,5245.04,,,,9.32,53.41,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
